time,value
0,20
1,20.378361581920906
2,20.95305447470817
3,21.402466019417478
4,21.935833333333335
5,22.362263450834885
6,22.903469785575055
7,23.33815841584159
8,23.83859922178989
9,24.23245508982037
10,24.717806691449823
11,25.29708333333334
12,25.69665406427222
13,26.03586481113321
14,26.317647058823535
15,26.685387523629494
16,27.249925788497222
17,27.712619502868076
18,28.0980038387716
19,28.517391304347836
20,28.96008000000001
21,29.40011385199242
22,29.816866537717612
23,30.382781065088764
24,30.763345935727795
25,31.260119047619053
26,31.857007722007726
27,32.21279329608939
28,32.65948310139165
29,33.01025242718447
30,33.430967117988395
31,33.76287356321839
32,34.20026768642447
33,34.77023856858847
34,35.190346820809246
35,35.56347305389221
36,36.09688845401174
37,36.67979245283018
38,37.04645038167938
39,37.373544554455435
40,37.67939334637964
41,38.15377394636015
42,38.40609900990099
43,38.90614203454894
44,39.20199604743083
45,39.7486592178771
46,40.26571428571429
47,40.766977611940305
48,41.203204633204635
49,41.71225433526011
50,42.13884462151395
51,42.55962524654833
52,42.99123595505618
53,43.40124000000001
54,43.83768786127168
55,44.27375939849625
56,44.695271317829466
57,45.09818181818183
58,45.52071428571429
59,45.90261538461538
60,46.438862275449104
61,46.87635838150289
62,47.391627906976744
63,47.740460652591175
64,48.0547216890595
65,48.54163568773234
66,48.91735238095238
67,49.444218750000005
68,49.91650698602794
69,50.502750929368034
70,50.88115311909263
71,51.34894531249999
72,51.623399209486166
73,52.0483266932271
74,52.40692307692308
75,52.76941619585687
76,53.109119373776906
77,53.38822429906542
78,53.710869565217386
79,54.05011583011583
80,54.56290196078431
81,55.048571428571414
82,55.528336520076465
83,55.8554631379962
84,56.240981132075454
85,56.6031598513011
86,56.916722532588444
87,57.19603773584904
88,57.5892857142857
89,57.98559999999999
90,58.44499999999998
91,58.86265346534651
92,59.33243027888445
93,59.81727954971856
94,60.31871892925428
95,60.881445086705185
96,61.28091999999998
97,61.81309433962261
98,62.33537313432833
99,62.83952741020791
100,63.23409999999998
