seconds,co2,temp,humidity
1,919.6188374598124,23.54131819964729,45.20042858433271
2,919.1052971200221,23.55268096923828,45.16861140745495
3,919.0829779964765,23.55268096923828,45.178622976031015
4,919.060658872931,23.55268096923828,45.188634544607076
5,919.0376823821006,23.5595188686073,45.1804378379464
6,919.0146877225366,23.56654575817136,45.1717378794385
7,918.8505966455757,23.574014420938383,45.158747463482655
8,918.6240128430646,23.581678748570873,45.14385676979668
9,918.4068063352273,23.582054138183594,45.14885551185621
10,918.1900827700364,23.582054138183594,45.15487858524653
11,918.1262967908461,23.582054138183594,45.14204898916028
12,918.1375079724278,23.582054138183594,45.11997446695297
13,918.2100819644712,23.584336200254988,45.09842132774616
14,918.3786823290033,23.590189450491682,45.07768409833617
15,918.5224931805532,23.59604248477233,45.05876736591058
16,918.4633519249259,23.60189375101769,45.05475506905662
17,918.4042106692984,23.607745017263053,45.05074277220265
18,918.48259366754,23.603907427649244,45.05337426222356
19,918.5897361581982,23.598043674876788,45.057395121267525
20,918.4436797776953,23.598626552159878,45.048528874950925
21,918.0905452429992,23.604481792019257,45.02912293713127
22,917.8964193487537,23.613816195361537,45.0109785461738
23,918.1325418811753,23.63256458155653,44.99624767130631
24,918.3686644135968,23.651312967751526,44.98151679643881
25,918.4486533644904,23.645676269565918,44.96413406818338
26,918.5272249858397,23.639818211566542,44.94672726727094
27,918.5374112788832,23.64230233128898,44.954108651589046
28,918.5199152952522,23.648163351839184,44.97152425550965
29,918.4680840101969,23.65707540989836,44.96598321664449
30,918.3714452148998,23.669969066742475,44.93048379780095
31,918.2599115420215,23.682050333187952,44.902835450629
32,918.0676270810436,23.689727322755196,44.91775074464536
