time,value
0,20
1,20.412617702448212
2,20.801052631578948
3,21.32144486692015
4,21.876732283464566
5,22.39112359550562
6,22.788917322834642
7,23.36214559386973
8,23.920408163265304
9,24.536794625719764
10,25.02869888475836
11,25.400463320463317
12,25.881001890359162
13,26.366071428571427
14,26.901072124756332
15,27.442786561264818
16,28.035516569200777
17,28.446368715083796
18,28.946777777777775
19,29.40994035785288
20,29.842152133580704
21,30.38712121212121
22,30.804157303370786
23,31.204913294797688
24,31.66307101727447
25,32.12943396226415
26,32.596582524271845
27,32.982737430167596
28,33.43181818181818
29,33.810381679389316
30,34.30137142857143
31,34.906666666666666
32,35.35296078431372
33,35.85097560975609
34,36.40192460317459
35,36.77308151093439
36,37.242587548638134
37,37.657156133829
38,38.10401559454191
39,38.567041198501876
40,39.12510679611651
41,39.515047984644916
42,39.87610136452243
43,40.27881091617935
44,40.767861163227025
45,41.33081481481482
46,41.833570057581575
47,42.266465028355384
48,42.70909090909091
49,43.04663568773235
50,43.42501923076923
51,43.833499043977056
52,44.099367816091956
53,44.44293069306931
54,44.902191780821916
55,45.20472998137802
56,45.63274285714286
57,46.182597402597395
58,46.53259615384615
59,46.922846153846145
60,47.24607569721115
61,47.73720226843099
62,48.15589041095889
63,48.653095684802985
64,48.93978886756236
65,49.414039603960376
66,49.87091428571426
67,50.304622823984495
68,50.8525670498084
69,51.290079051383366
70,51.81758157389632
71,52.16055133079845
72,52.55485148514849
73,52.994194174757254
74,53.34778640776696
75,53.895555555555525
76,54.329688715953274
77,54.69281425891178
78,55.085259117082494
79,55.392059999999965
80,55.87827037773356
81,56.39005988023947
82,56.89581854043388
83,57.34176587301583
84,57.728608349900554
85,58.1103571428571
86,58.57934086628997
87,59.109847328244214
88,59.59228571428566
89,60.038348968105
90,60.50441064638777
91,60.933791821561286
92,61.31763157894732
93,61.87699421965312
94,62.30093812375243
95,62.809431818181764
96,63.371578947368356
97,63.78820158102761
98,64.17710982658954
99,64.63011235955051
100,65.04870229007629
