seconds,co2,temp,humidity
25.988295793533325,1411.18701171875,22.999923706054688,35.20355224609375
28.23240828514099,1412.2841796875,23.015945434570312,35.17913818359375
30.476234197616577,1411.669677734375,22.999923706054688,35.15167236328125
32.72034788131714,1414.572265625,22.999923706054688,35.12420654296875
34.96635127067566,1413.228515625,22.986572265625,35.137939453125
37.20967149734497,1414.4290771484375,22.986572265625,35.09674072265625
39.45358490943909,1413.4952392578125,22.999923706054688,35.08453369140625
41.69731020927429,1411.2845458984375,23.015945434570312,35.08758544921875
43.94140315055847,1411.4427490234375,22.999923706054688,35.05706787109375
46.18611407279968,1410.0555419921875,23.015945434570312,35.11199951171875
48.430548429489136,1406.916259765625,23.015945434570312,35.13946533203125
50.67455983161926,1408.1917724609375,22.999923706054688,35.137939453125
