seconds,co2,temp,humidity
32.583420753479004,917.9554443359375,23.69420623779297,44.92645263671875
34.86437010765076,918.3173828125,23.69420623779297,44.88983154296875
37.144392013549805,918.5659790039062,23.68085479736328,44.88677978515625
39.42469811439514,918.843994140625,23.69420623779297,44.85321044921875
41.70349454879761,919.0946044921875,23.69420623779297,44.81658935546875
43.98164367675781,919.0575561523438,23.69420623779297,44.77996826171875
46.26275110244751,919.32861328125,23.707557678222656,44.793701171875
48.54381561279297,919.681884765625,23.73693084716797,44.74945068359375
50.82513642311096,919.8633422851562,23.72357940673828,44.75860595703125
53.10507321357727,920.38720703125,23.750289916992188,44.74945068359375
55.38618779182434,920.6425170898438,23.750289916992188,44.73876953125
57.666014671325684,920.8233642578125,23.763641357421875,44.71588134765625
59.41513967514038,921.0611572265625,23.7796630859375,44.70367431640625
61.695305824279785,921.134521484375,23.763641357421875,44.6533203125
63.97625398635864,922.1266479492188,23.806365966796875,44.69451904296875
